 ,Distance,Value
1,0.000,56.000
2,0.110,55.946
3,0.220,56.051
4,0.330,56.256
5,0.440,56.674
6,0.550,57.093
7,0.660,57.511
8,0.770,58.856
9,0.880,62.016
10,0.990,66.660
11,1.100,73.778
12,1.210,84.349
13,1.320,102.640
14,1.430,127.661
15,1.540,157.741
16,1.650,186.056
17,1.760,198.190
18,1.870,199.897
19,1.980,185.627
20,2.090,166.488
21,2.200,147.284
22,2.310,129.422
23,2.420,115.740
24,2.530,105.310
25,2.640,97.831
26,2.750,92.648
27,2.860,88.470
28,2.970,86.220
29,3.080,84.340
30,3.190,84.820
31,3.300,83.778
32,3.410,83.361
33,3.520,81.583
34,3.630,81.689
35,3.740,82.053
36,3.850,83.846
37,3.960,85.147
38,4.070,86.353
39,4.180,86.182
40,4.290,84.900
41,4.400,83.457
42,4.510,79.905
43,4.620,77.147
44,4.730,72.455
45,4.840,69.057
46,4.950,64.833
47,5.060,63.768
48,5.170,61.440
49,5.280,59.889
50,5.390,58.533
51,5.500,57.333
52,5.610,56.400
53,5.720,56.000
54,5.830,56.000
55,5.940,55.000
56,6.050,53.648
57,6.160,52.867
58,6.270,51.944
59,6.380,51.274
60,6.490,51.467
61,6.600,51.000
62,6.710,50.533
63,6.820,50.125
64,6.930,50.000
65,7.040,50.000
66,7.150,50.333
67,7.260,50.547
68,7.370,49.918
69,7.480,49.408
70,7.590,49.800
71,7.700,49.333
72,7.810,49.000
73,7.920,48.267
74,8.030,48.000
75,8.140,48.504
76,8.250,49.389
77,8.360,49.661
78,8.470,49.851
79,8.580,49.000
80,8.690,49.000
81,8.800,49.000
82,8.910,49.000
83,9.020,49.429
84,9.130,49.612
85,9.240,49.671
86,9.350,49.333
87,9.460,49.000
88,9.570,49.011
89,9.680,49.903
90,9.790,50.000
91,9.900,49.333
92,10.010,48.239
93,10.120,47.971
94,10.230,48.000
95,10.340,48.180
96,10.450,49.000
97,10.560,49.000
98,10.670,48.100
99,10.780,47.252
100,10.890,46.293
101,11.000,46.173
102,11.110,46.404
103,11.220,47.000
104,11.330,46.838
105,11.440,46.502
106,11.550,46.056
107,11.660,46.000
108,11.770,46.715
109,11.880,47.760
110,11.990,48.000
111,12.100,48.123
112,12.210,48.800
113,12.320,49.141
114,12.430,50.000
115,12.540,49.982
116,12.650,50.531
117,12.760,51.000
118,12.870,51.567
119,12.980,52.000
120,13.090,52.180
121,13.200,53.222
122,13.310,54.517
123,13.420,55.860
124,13.530,56.351
125,13.640,56.968
126,13.750,58.630
127,13.860,60.973
128,13.970,62.725
129,14.080,63.955
130,14.190,64.789
131,14.300,64.741
132,14.410,64.693
133,14.520,64.644
134,14.630,64.663
135,14.740,64.754
136,14.850,64.000
137,14.960,62.681
138,15.070,61.133
139,15.180,60.444
140,15.290,59.133
141,15.400,58.691
142,15.510,58.200
143,15.620,56.074
144,15.730,53.525
145,15.840,51.133
146,15.950,49.549
147,16.060,48.867
148,16.170,48.400
149,16.280,48.000
150,16.390,47.524
151,16.500,46.222
152,16.610,45.804
153,16.720,45.933
154,16.830,46.173
155,16.940,47.228
156,17.050,48.537
157,17.160,49.889
158,17.270,51.241
159,17.380,52.822
160,17.490,54.689
161,17.600,56.296
162,17.710,57.583
163,17.820,59.640
164,17.930,62.922
165,18.040,66.385
166,18.150,71.500
167,18.260,79.467
168,18.370,94.812
169,18.480,120.071
170,18.590,153.907
171,18.700,188.370
172,18.810,216.633
173,18.920,233.197
174,19.030,236.668
175,19.140,229.698
176,19.250,217.574
177,19.360,206.478
178,19.470,199.380
179,19.580,196.567
180,19.690,196.940
181,19.800,203.333
182,19.910,210.148
183,20.020,221.963
184,20.130,224.202
185,20.240,226.474
186,20.350,218.759
187,20.460,207.689
188,20.570,193.530
189,20.680,177.178
190,20.790,161.140
191,20.900,145.284
192,21.010,130.200
193,21.120,119.031
194,21.230,108.702
195,21.340,101.589
196,21.450,92.833
197,21.560,88.522
198,21.670,83.354
199,21.780,80.960
200,21.890,78.811
201,22.000,76.358
202,22.110,72.784
203,22.220,70.259
204,22.330,68.477
205,22.440,67.240
206,22.550,66.130
207,22.660,65.250
208,22.770,64.973
209,22.880,65.096
210,22.990,65.407
211,23.100,65.778
212,23.210,66.254
213,23.320,66.475
214,23.430,66.562
215,23.540,66.754
216,23.650,66.525
217,23.760,66.000
218,23.870,65.370
219,23.980,65.741
220,24.090,66.311
221,24.200,67.148
222,24.310,67.359
223,24.420,68.333
224,24.530,70.015
225,24.640,72.191
226,24.750,74.833
227,24.860,78.405
228,24.970,82.818
229,25.080,88.778
230,25.190,97.142
231,25.300,107.630
232,25.410,121.000
233,25.520,137.719
234,25.630,157.011
235,25.740,175.547
236,25.850,190.512
237,25.960,197.785
238,26.070,196.569
239,26.180,189.666
240,26.290,180.561
241,26.400,170.000
242,26.510,159.739
243,26.620,149.805
244,26.730,139.560
245,26.840,130.168
246,26.950,119.747
247,27.060,109.507
248,27.170,99.274
249,27.280,90.304
250,27.390,83.262
251,27.500,76.852
252,27.610,71.007
253,27.720,66.533
254,27.830,62.059
255,27.940,60.096
256,28.050,58.278
257,28.160,57.391
258,28.270,56.660
259,28.380,56.578
260,28.490,56.530
261,28.600,56.333
262,28.710,55.427
263,28.820,55.407
264,28.930,56.141
265,29.040,58.218
266,29.150,61.444
267,29.260,63.833
268,29.370,64.716
269,29.480,63.763
270,29.590,61.213
271,29.700,58.000
