 ,Distance,Value
1,0.000,49.000
2,0.110,48.914
3,0.220,48.829
4,0.330,48.986
5,0.440,49.006
6,0.550,50.129
7,0.660,51.457
8,0.770,53.881
9,0.880,58.118
10,0.990,66.595
11,1.100,80.551
12,1.210,99.968
13,1.320,123.630
14,1.430,144.464
15,1.540,154.613
16,1.650,149.607
17,1.760,130.252
18,1.870,107.319
19,1.980,86.807
20,2.090,72.666
21,2.200,62.644
22,2.310,56.800
23,2.420,53.543
24,2.530,51.429
25,2.640,50.064
26,2.750,48.450
27,2.860,47.006
28,2.970,45.814
29,3.080,45.067
30,3.190,45.062
31,3.300,45.000
32,3.410,44.915
33,3.520,45.181
34,3.630,45.843
35,3.740,45.792
36,3.850,46.167
37,3.960,46.829
38,4.070,47.490
39,4.180,48.090
40,4.290,47.971
41,4.400,48.045
42,4.510,48.790
43,4.620,50.520
44,4.730,53.140
45,4.840,56.162
46,4.950,59.643
47,5.060,64.194
48,5.170,70.474
49,5.280,80.764
50,5.390,101.954
51,5.500,134.966
52,5.610,176.630
53,5.720,208.095
54,5.830,214.859
55,5.940,197.811
56,6.050,171.621
57,6.160,149.622
58,6.270,142.447
59,6.380,143.805
60,6.490,151.092
61,6.600,156.510
62,6.710,157.511
63,6.820,156.002
64,6.930,145.580
65,7.040,133.844
66,7.150,121.338
67,7.260,108.248
68,7.370,98.076
69,7.480,89.525
70,7.590,83.121
71,7.700,77.444
72,7.810,71.567
73,7.920,67.654
74,8.030,63.569
75,8.140,60.155
76,8.250,58.311
77,8.360,56.724
78,8.470,55.704
79,8.580,55.488
80,8.690,55.190
81,8.800,53.952
82,8.910,53.943
83,9.020,53.808
84,9.130,54.003
85,9.240,53.880
86,9.350,54.286
87,9.460,54.349
88,9.570,54.457
89,9.680,54.543
90,9.790,55.118
91,9.900,55.714
92,10.010,55.567
93,10.120,54.990
94,10.230,54.971
95,10.340,55.057
96,10.450,55.143
97,10.560,55.353
98,10.670,55.000
99,10.780,55.036
100,10.890,55.014
101,11.000,55.571
102,11.110,55.657
103,11.220,56.257
104,11.330,56.824
105,11.440,56.162
106,11.550,56.000
107,11.660,56.208
108,11.770,56.175
109,11.880,56.743
110,11.990,56.287
111,12.100,55.429
112,12.210,55.521
113,12.320,54.867
114,12.430,54.587
115,12.540,55.000
116,12.650,55.000
117,12.760,55.159
118,12.870,54.791
119,12.980,54.000
120,13.090,54.000
121,13.200,54.408
122,13.310,54.840
123,13.420,54.914
124,13.530,55.914
125,13.640,57.333
126,13.750,58.167
127,13.860,59.000
128,13.970,59.833
129,14.080,60.667
130,14.190,61.057
131,14.300,61.095
132,14.410,60.519
133,14.520,59.688
134,14.630,58.367
135,14.740,57.971
136,14.850,58.168
137,14.960,58.320
138,15.070,57.773
139,15.180,56.143
140,15.290,54.910
141,15.400,55.000
142,15.510,54.757
143,15.620,54.343
144,15.730,54.573
145,15.840,54.343
146,15.950,54.033
147,16.060,53.569
148,16.170,53.600
149,16.280,53.686
150,16.390,53.771
151,16.500,53.714
152,16.610,53.052
153,16.720,52.141
154,16.830,51.448
155,16.940,51.133
156,17.050,51.286
157,17.160,51.371
158,17.270,51.457
159,17.380,52.124
160,17.490,52.871
161,17.600,53.000
162,17.710,52.800
163,17.820,52.912
164,17.930,53.739
165,18.040,55.771
166,18.150,57.495
167,18.260,58.000
168,18.370,58.000
169,18.480,58.120
170,18.590,58.910
171,18.700,59.669
172,18.810,62.243
173,18.920,66.224
174,19.030,72.583
175,19.140,82.515
176,19.250,97.222
177,19.360,117.259
178,19.470,138.511
179,19.580,156.860
180,19.690,167.680
181,19.800,169.245
182,19.910,162.125
183,20.020,148.902
184,20.130,132.871
185,20.240,116.758
186,20.350,102.235
187,20.460,89.749
188,20.570,80.587
189,20.680,73.162
190,20.790,67.000
191,20.900,62.857
192,21.010,59.051
193,21.120,56.286
194,21.230,54.505
195,21.340,53.590
196,21.450,52.857
197,21.560,51.924
198,21.670,51.605
199,21.780,50.943
200,21.890,50.281
201,22.000,49.238
202,22.110,48.229
203,22.220,48.306
204,22.330,47.633
205,22.440,46.971
206,22.550,46.048
207,22.660,45.352
208,22.770,46.003
209,22.880,46.000
210,22.990,46.253
211,23.100,46.000
