 ,Distance,Value
1,0.000,52.000
2,0.110,51.703
3,0.220,51.222
4,0.330,50.765
5,0.440,50.016
6,0.550,49.613
7,0.660,48.908
8,0.770,47.476
9,0.880,46.206
10,0.990,44.274
11,1.100,42.943
12,1.210,41.548
13,1.320,40.871
14,1.430,40.657
15,1.540,40.667
16,1.650,41.041
17,1.760,41.127
18,1.870,41.252
19,1.980,41.466
20,2.090,42.123
21,2.200,43.462
22,2.310,43.774
23,2.420,43.097
24,2.530,42.966
25,2.640,42.917
26,2.750,43.000
27,2.860,43.000
28,2.970,43.258
29,3.080,43.968
30,3.190,45.651
31,3.300,47.773
32,3.410,50.667
33,3.520,54.172
34,3.630,57.371
35,3.740,60.172
36,3.850,63.618
37,3.960,67.839
38,4.070,72.516
39,4.180,77.935
40,4.290,84.309
41,4.400,90.706
42,4.510,97.118
43,4.620,104.058
44,4.730,109.404
45,4.840,114.918
46,4.950,120.119
47,5.060,126.712
48,5.170,132.551
49,5.280,136.699
50,5.390,139.243
51,5.500,139.237
52,5.610,137.406
53,5.720,134.366
54,5.830,129.694
55,5.940,123.165
56,6.050,114.707
57,6.160,104.601
58,6.270,92.701
59,6.380,83.867
60,6.490,77.262
61,6.600,75.060
62,6.710,78.175
63,6.820,90.333
64,6.930,107.386
65,7.040,128.653
66,7.150,151.882
67,7.260,169.435
68,7.370,181.510
69,7.480,189.716
70,7.590,190.562
71,7.700,190.571
72,7.810,194.064
73,7.920,199.547
74,8.030,205.520
75,8.140,211.854
76,8.250,208.653
77,8.360,196.818
78,8.470,179.661
79,8.580,160.362
80,8.690,148.033
81,8.800,141.760
82,8.910,142.813
83,9.020,146.043
84,9.130,147.805
85,9.240,145.556
86,9.350,138.273
87,9.460,128.008
88,9.570,116.290
89,9.680,106.581
90,9.790,99.597
91,9.900,94.604
92,10.010,90.765
93,10.120,89.032
94,10.230,88.500
95,10.340,88.365
96,10.450,88.527
97,10.560,89.000
98,10.670,89.817
99,10.780,91.049
100,10.890,93.124
101,11.000,95.626
102,11.110,99.409
103,11.220,103.839
104,11.330,108.876
105,11.440,115.332
106,11.550,126.223
107,11.660,143.128
108,11.770,169.641
109,11.880,198.105
110,11.990,219.759
111,12.100,231.870
112,12.210,227.587
113,12.320,220.380
114,12.430,216.449
115,12.540,216.726
116,12.650,223.118
117,12.760,227.166
118,12.870,231.635
119,12.980,235.131
120,13.090,234.858
121,13.200,237.866
122,13.310,244.249
123,13.420,248.925
124,13.530,252.468
125,13.640,251.333
126,13.750,244.802
127,13.860,230.363
128,13.970,209.763
129,14.080,188.462
130,14.190,168.016
131,14.300,151.882
132,14.410,141.013
133,14.520,133.325
134,14.630,127.901
135,14.740,125.437
136,14.850,125.707
137,14.960,128.419
138,15.070,136.871
139,15.180,149.204
140,15.290,164.134
141,15.400,183.484
142,15.510,203.377
143,15.620,221.917
144,15.730,236.905
145,15.840,245.445
146,15.950,248.461
147,16.060,240.472
148,16.170,220.785
149,16.280,193.849
150,16.390,165.538
151,16.500,146.161
152,16.610,131.205
153,16.720,119.814
154,16.830,113.811
155,16.940,109.401
156,17.050,108.167
157,17.160,115.033
158,17.270,129.557
159,17.380,148.316
160,17.490,166.247
161,17.600,176.176
162,17.710,173.375
163,17.820,158.739
164,17.930,140.466
165,18.040,122.871
166,18.150,112.477
167,18.260,108.366
168,18.370,109.302
169,18.480,118.147
170,18.590,134.947
171,18.700,159.356
172,18.810,188.146
173,18.920,198.038
174,19.030,182.016
175,19.140,144.108
176,19.250,100.823
177,19.360,70.311
178,19.470,54.562
179,19.580,49.374
180,19.690,49.000
181,19.800,48.419
182,19.910,47.488
183,20.020,45.656
184,20.130,44.242
185,20.240,43.355
186,20.350,43.000
187,20.460,43.000
